rule_filterlist_Germany,blocked_etld
||addefend.com^$third-party,1
||stadt-bremerhaven.de^*/psw.jpg,1
||rtax.criteo.com^$domain=autobild.de,1
||adsplash.de^$third-party,1
||googletagservices.com/dcm/dcmads.js$domain=autobild.de,1
||delmovip.com^,1
||playamedia.com^$third-party,1
||ptadsrv.de^$third-party,1
||tvdigital.de/frontpage/deutschland_urlaub_horzu_,1
||weekli.de/widget-loader?$third-party,1
||ak-kurier.de/akkurier/www/pic/,1
||tvdigital.de/frontpage/deutschland_urlaub_hoerzu_,1
||borussia.de^*/sponsors/,1
||ay.delivery^$third-party,1
||4strokemedia.com^$third-party,1
||gayads.biz^,1
||trafico.prensaiberica.es^,1
||lead-alliance.net/tb.php$third-party,1
||adsafeprotected.com^$domain=autobild.de|imasdk.googleapis.com,1
||perfectmarket.com^$domain=autobild.de,1
||finanzen.net/images/b_realtime/vontobel-banner.jpg,1
||aerzteblatt.de/inc/js/ba_utils/arzt.js,1
||pornoklinge.com/img/linklist/,1
.de/ads? <+> .de/ads_ <+> /bilder/ads/*,1
||2mdn.net^$domain=autobild.de|imasdk.googleapis.com|serving-sys.com,1
||h5v.eu^$third-party,1
||wixnm.com^,1
||wohnmobilforum.de/motorradtraeger.jpg,1
||adnxs.com^$domain=autobild.de|widgets.outbrain.com,1
||serving-sys.com/BurstingCachedScripts/$domain=serving-sys.com,1
||schnittberichte.com/resources/images/saturn_,1
||viralize.tv^$domain=n-tv.de,1
||wazazu.com/js/pu_$third-party,1
||kauf6.com/img/banner/,1
||wohnmobilforum.de/wasserhy.jpg,1
||moatads.com^$domain=autobild.de,1
||amazon-adsystem.com^$domain=autobild.de|gofeminin.de,1
||redintelligence.net^$domain=g.doubleclick.net,1
||kochbar.de/moltenbundle/,1
||scfreiburg.com^*/04_Sponsoren/,1
||g.doubleclick.net^$domain=autobild.de|gofeminin.de|imasdk.googleapis.com,1
||ad.71i.de^$domain=autobild.de|gofeminin.de,1
||anime2you.de/koop-home/,1
||gbucket.ch^$third-party,1
||astronomie.de/uploads/tx_sfbanners/,1
||wp.com/nh24.de/wp-content/uploads/*/banner_,1
||3druck.com/wp-content/uploads/*/craftbot.jpg,1
||realtotal.de/data/betrugstest-com.jpg,1
||webwiki.de/images/seobility_,1
||f95.de/media/res/_rel/logos/sponsoren/,1
||sascdn.com^$domain=autobild.de,1
||nacktefoto.com/de-bonga.jpg,1
||tpc.googlesyndication.com^$domain=autobild.de,1
||adalizer.com^$third-party,1
||smartadserver.com^$domain=autobild.de,1
||schnittberichte.com/pics/blackillusions/,1
||cdn.flashtalking.com^$domain=autobild.de|imasdk.googleapis.com,1
||boersennews.de/images/smartbroker/,1
||trmads.eu^$third-party,1
||saechsische.de/img/semperoper.png,1
||pcgames.de/tsimg/topbanner/,1
-werbebanner.$domain=~merkur-werbebanner.de,1
||pcgameshardware.de/tsimg/topbanner/,1
||pfaffenhofen-today.de/images/banners/,1
||wohnmobilforum.de/luftfederung.jpg,1
||adnxs-simple.com/creative/$domain=autobild.de,1
||chatntr.com^$third-party,1
||google.com/adsense/$domain=autobild.de,1
||promiflash.de/static/js/pf-web-*.js|,1
"||asadcdn.com/adlib/$~script,~stylesheet,domain=autobild.de",1
||borncity.com/blog/wp-content/uploads/*/Book04.jpg,1
||neqty.net^$third-party,1
||mtb-news.de/news/wp-content/plugins/mtbn-ads/,1
||trmwidget.eu^$third-party,1
||fussballn.de/images/design/fussballn/hudson2.png,1
||viamichelin.de/static/*/adblocker/advertising.js,1
||adition.com^$domain=autobild.de|g.doubleclick.net,1
||schausteller.de/media/ad/,1
/grafik/ads/*,1
||netpoint-media.de^$third-party,1
||drehscheibe-online.de/ds_cms/banner/,1
||stroeerdigitalmedia.de^$third-party,1
||ad4m.at^$third-party,1
||static.criteo.net/js/ld/publishertag.prebid.js$domain=autobild.de,1
||lokalo.de/wp-content/uploads/*/tts-banner-,1
||koeln.de^*/werbung/,1
||solads.media^$third-party,1
||twiago.com^$third-party,1
||otto.de/wato-onsite/assets/*.wato.onsite.module.,1
||finanznachrichten.de/w/ad_,1
||ba-content.de^$third-party,1
||mygully.com/ca.php,1
||aff-handler.com^$third-party,1
