rule_filterlist_France,blocked_etld
_ad_images_ <+> /ads-ad- <+> -ad-content- <+> -ad_ads. <+> /ad_fr. <+> /ad/ads. <+> /ad-ads.,12
.ru/s/images/banner/$third-party <+> .ru/i/banners/$third-party <+> .ru/s/images/banners/$third-party <+> .ru/banner/$third-party <+> .ru/i/banner/$third-party <+> .ru/banners/$third-party,11
/publicite-$domain=~publicite-decor.fr|~publicite-lepeut-dole.fr,11
.adv?*_id= <+> ://promo.*?site_id= <+> /banner/*&site_id= <+> /banner/*?site_id=,11
/advertisement? <+> /widget.advertisement. <+> /adblock/advertisement-,11
/wp-content/banners/*$third-party,11
/native-ad/* <+> -native-ad-,11
/pub/*-300x250. <+> /pubs/*-300x250. <+> /Ad-*-300x250. <+> /ads/*-300x250.,10
/ai/s/s/su.php?,10
_728x90(2). <+> =728x90_ <+> _728x90@,10
?zones=*&blockcampaign=,10
_ad_campaign_ <+> /banner_campaign_,9
/banners/ads_ <+> /banners-pub/* <+> /wp-content/uploads/wp-banners/* <+> /banners/fr.ad. <+> /banners-ads/* <+> /ad/banners_ <+> /banners/ad- <+> /banners/pub. <+> /banners/pub- <+> -banners/ads_,9
.com/sponsors/ <+> /sponsors/banner_,9
/wp-content/themes/*/ads/*,9
"://syndication.$~subdocument,third-party",9
/dfp-adblock- <+> =adblock_ <+> /adblock.php <+> /adblock_banners/*,9
/jsk?zoneid=,9
-320x480.,8
/banners/*_ads_ <+> /ads.*/banners/*,8
?728&90& <+> /728-x-90. <+> -728_90. <+> _728-x-90_ <+> -728-x-90. <+> /ads_90_728. <+> /ads/728/90/* <+> /728-x-90- <+> -728-90-1. <+> -728-x-90-,8
/player/*/ads.,8
/iframe.*?idzone=,8
?style=468x60- <+> _468x60& <+> _468x60@,7
/pub/pub.gif <+> _pub.gif <+> /pub/pub- <+> /images_pub/pub_ <+> /pub/pub_,7
?sponsor=*&sId= <+> ://ad.*&sid=,7
/jquery.dfp. <+> -jquery.dfp.,7
%22request_id%*%22idzone%,7
/inread_ <+> /inread.,6
.AdTech& <+> .adtech.,6
/api.*/ads?,6
-300x350-,6
/adscript.js,6
=dynamic_banner&,6
/mobile-ad/* <+> -ad-mobile.,6
&ADMode=,6
.cc/ad/,6
&ad_count=,5
/ads/popup- <+> /popup-pub- <+> .net/popup.js <+> _popup_pro. <+> .com/popup.js,5
/ai/s/s/js/ssu.v2.js,5
-160-x-600- <+> -160_600. <+> /160_x_600 <+> /160-x-600- <+> /160-x-600. <+> _160-x-600_ <+> ?160&600& <+> -160-x-600.,5
/ai/s/s/js/m/im.js <+> /ab_im_desktop_b.,5
.com/bnr/ <+> /bnr/468. <+> /bnr/468/* <+> /bnr/ads/* <+> /bnr/300/* <+> /bnr/ad/*,5
/zone?*&random= <+> ://serve.*?random=,5
/adscores/*,5
/twitter-ads.,5
&ad_unit_ <+> _ad_unit.,5
/960-80.gif <+> /960-120.gif,5
/promo-banner.$third-party,5
/adsview. <+> /adsview/*,5
/ad/*/pjs.js,5
/syndication.*&idzone=,5
/libs/ads.,5
/affiliate.min.js,5
/adform.,5
/upload/ad/* <+> /upload/adv/*,5
/ads/gif/* <+> /promo/gif_banners/* <+> /gif/sponsor_ <+> -300x250.gif? <+> .gif?partner=,4
/bens/vinos.js,4
/redirector.*_ads,4
/sw.*.js?promo= <+> ?tag_id=*&sw_url=,4
?affiliateCode=,4
/adx-dir-,4
/adsenseloader/* <+> /jquery.adsenseloader. <+> /adsenseLoader.,4
=videoAd&,4
/images/istripper/* <+> /iStripper-,4
&aduid=,4
/temp/popunder.js <+> -popunder- <+> =popunder&,4
/ad/*/300/* <+> /ads/*/300_ <+> /pub/*/300_300_,4
/inc/ezcl.,4
_ads_one_,4
/pub/300. <+> /300_x_250 <+> /pub_300. <+> -pub-300- <+> _banniere-300. <+> _adv_300. <+> /adv_300_ <+> /pub/300_top. <+> -banner-300. <+> /adv_300.,4
.ir/ad/ <+> .ir/ads. <+> .ir/ads/,4
-home-ad-,4
/ads-img/* <+> /img/_ad/* <+> /img/ads.,4
/mads/*,4
/ads_120_ <+> -120-x-600- <+> /ban_120_60_ <+> /468-120. <+> /120-x-600- <+> -120-600- <+> /120-x-600. <+> /ads/120/600/* <+> -120-x-600. <+> _120-x-600_ <+> /publi_120_,4
/eaCtrl.js,4
/get_affiliate_ <+> /ads/get_,4
&adposition=,4
