rule_filterlist_France,blocked_etld
||ouedkniss.com/medias/images/,1
?ufuad=,1
.es/anuncios/,1
/ads14.,1
||cdn.citytourgirls.com/static/bn/,1
||s.beop.io^,1
||partenaire.leparticulier.fr^,1
||adintop.com^$third-party,1
||adop.cc^$third-party,1
||shop.mango.com^$third-party,1
||tacticwane.com^,1
/bnrs/yn_bnr.,1
||go2yd.com^,1
/adx-instream.,1
/reloadads.,1
||adtive.com^$third-party,1
||cpmstar.com^$third-party,1
||mediavoice.com^$third-party,1
||vodunkand.com^,1
||adpicker.net^$third-party,1
/eureka.js,1
||como.com^$third-party,1
||synonymes.com/storpub/,1
/adinit?,1
||travelaudience.com^,1
||binance.org^$third-party,1
||my.aliexpress.$third-party,1
||vakarm.net/css/sprite_vkm_2.css,1
||hentai-paradise.fr/getblock2,1
||adultempire.com/bn/,1
.de/ads? <+> .de/ads_,1
||facebook.net^*/fbds.js$third-party,1
||finiteobjscan.com^,1
/ads_fol_,1
/RdmFtrs2.js,1
||lowseceste.com^,1
||frayedpause.com^,1
||autojournal.fr/wp-content/uploads/autojournal/2022/04/300x160.jpg,1
/ads/v1/*,1
||bdgest.com/habillages/,1
/pub300. <+> /pub300-250.,1
/ads/pages/* <+> _pages_ad. <+> /pages_ads.,1
||buyfrightencheckup.com^,1
||adsensecustomsearchads.com^$third-party,1
||politpastier.com^,1
/zone/*/?autocamp=,1
||stripchat.com^,1
||camsoda.com^$third-party,1
||pxltgr.com^$third-party,1
_480x250.,1
||yts.mx/*.gif,1
||artannagentlemen.com^,1
||hedonicterces.website^,1
||temtamias.com^,1
/assets/adf- <+> .php?adf_in=,1
||grtyb.com^,1
/banner_ads2. <+> _ads2-,1
||s.richaudience.com^$third-party,1
||techpowerup.com/reviyu,1
||beltenecottae.com^,1
/publicit%c3%a9/*,1
||facebook.com/tr?,1
/includes/pop/* <+> /includes/ads.,1
||broughtcontract.com^,1
||damageddistance.com^,1
||fulfilossuary.com^,1
||pm.gamedistribution.com^,1
||adlmerge.com^$third-party,1
||sfstatic.net/build/js/chunk~revive-js-main-js,1
||mobvista.com^$third-party,1
||wheengesurrept.com^,1
.com/adj/,1
||bosselinorrummage.com^,1
||sunmedia.tv^$third-party,1
||trafficlide.com^$third-party,1
/polyad.,1
/adop.js,1
||batiactu.com/cap_pub/,1
://ad.*/native. <+> /adx/*/native.,1
||shareasale.com/sale.cfm?amount=,1
||i.ebayimg.com$domain=trackitonline.org|trackitonline.ru,1
||dirdlabella.com^,1
||live.whassup.fr/*&campaign=,1
||pushinpage.com^$third-party,1
||carasexe.name^$third-party,1
||qhip.com^,1
/AdConfig.aspx,1
||shareaholic.com^$third-party,1
_adblockdetector/,1
||roofletdessous.com^,1
||linksynergy.com^$third-party,1
||amazonaws.com^$domain=anyanime.com|ay.gy|brain-magazine.fr|citethisforme.com|ddl1.best|despair-paradise.com|easybib.com|esgentside.com|filmuptobox.net|gamecopyworld.click|gamecopyworld.eu|gentside.com|gentside.com.br|gentside.de|gogoanime.io|gorillavid.com|inkapelis.com|istream2watch.com|maquillage.com|maxisciences.com|namemc.com|ohmirevista.com|ohmymag.com|ohmymag.com.br|ohmymag.de|pausefun.com|pausepeople.com|pelisplus.to|replaymod.com|solidfiles.com|stream2watch.org|tokenfly.pw|uploadcrazy.net|vercanalestv1.com|vosbooks.tv|watcheng.tv|zippyshare.com|zlshorte.net,1
&adInstanceId=,1
||beliefnormandygarbage.com^,1
||isopodaupcock.com^,1
||paarsvc.com^,1
||medi-8.net^$third-party,1
||autojournal.fr/wp-content/plugins/voiture-occasion/,1
/ban/partenaires/*,1
||ad-spire.net^$third-party,1
||mirifelon.com^,1
||clcktrax.com^$third-party,1
/in-ad_desktop/* <+> _ads_desktop.,1
/getappmsgAd?,1
||cdn.escortdude.com/static/bn/,1
||coappreciate.com^,1
||ruedesjoueurs.com/images/articles-/promo/,1
||pubstack.io^$third-party,1
/ads_data_ <+> /ads_data/*,1
/virtuagirl-,1
||maison-travaux.fr/wp-content/uploads/sites/8/2021/04/deco.jpg,1
||ad-score.com^$third-party,1
||manga-news.com/public/bans/,1
||batiactu.com/images/pub/,1
||torrentgalaxy.to/common/images/*-lo.png,1
||smart2cnjuh34jb.com^,1
||mediasquare.fr^$third-party,1
/iadbn?,1
||algerie360.com/pub360/,1
||popupmaker.com^$third-party,1
||admissiondemeanourusage.com^,1
/afiliados/*,1
/adj?auid=,1
/display/*&468&60 <+> /display/*&300&250 <+> /display/*&728&90 <+> /promo/*/display.,1
/pub728. <+> /pub728-90.,1
||ads-tracking.beop.io^,1
||storage.googleapis.com/kompagnion/$third-party,1
/va/ads/*,1
||cloudfront.net/img/banner,1
/banners/200x200/*,1
/serve?*&w=728&h=90 <+> /serve.*/ads? <+> /serve?*&w=468&h=60 <+> ?zoneid=*&serve= <+> /serve?*&w=300&h=250 <+> /serve?*&w=160&h=600,1
||hitek.fr/img/*-ban.,1
||vidazoo.com/aggregate?,1
||debonairdust.com^,1
/pubs/300250/* <+> /300250.js <+> /media/300250. <+> /300250_2. <+> /Pub-300250.,1
||pub.macommune.info^,1
||t85itha3nitde.com^,1
||cclpub.com^$third-party,1
||crrepo.com^$third-party,1
/script/suurl.php?r=,1
/advertiserv2/*,1
/doubleclick_dmm/*,1
||energeticladybug.com^,1
/ichhar/* <+> /ichhar.,1
||swangylockjaw.com^,1
||tpcserve.com^$third-party,1
-advertising/tmg-gpt.,1
||nestoria.fr/jsp/include/banners/,1
||floosyvuggs.com^,1
||hostcontent.live,1
||leparking.fr/upload/partners/,1
/campaigns/banner? <+> /banners_campaigns/*,1
://a.*/loader?*&keywords=$third-party,1
||ethers.io^$third-party,1
||nend.net^$third-party,1
.com.sa/ads/,1
||aesopicmalchus.com^,1
||static-dscn.net^$third-party,1
/pubExchange.,1
||oldenedkeymove.com^,1
||bit.ly^$domain=nintendo-master.com|upload.ac,1
||bakingbeheld.com^,1
||takethshorter.com^,1
/adsensebase.,1
/pub-internet-300x150.,1
||pronosoft.com/*/bookmakers/unibet/,1
||easysexe.com^$third-party,1
||keelieejidos.com^,1
=600x100& <+> -banner_600x100.,1
||niatapray.com^,1
/adpage_,1
||celebjihad.com/images/*.gif,1
||electromenager-compare.com/images/main/*/pub.jpg,1
/assets/abpe-,1
||baitedblocs.com^,1
||nuggad.net^$third-party,1
_smartclick.js <+> /smartclick.js,1
||wpushsdk.com^,1
||videostep.com^$third-party,1
||frandroid.com/plsbl/,1
||othersides.top^,1
||cpa-content.com^$third-party,1
_1140x90.,1
/ad-sidebar. <+> -ads-sidebar. <+> /sidebar-ad.,1
||asumi.shinobi.jp^,1
||upsendmusky.com^,1
||bleachmx.fr/wp-content/uploads/bleach-,1
||adschoom.com^$third-party,1
/pub-responsive/* <+> /pub-responsive.,1
||cheatedmisturn.com^,1
||undom.net^,1
||cstwpush.com^,1
||greedypiotine.com^,1
||shaiksuk.net^,1
/adxAdmin/*,1
||bevilmotives.com^,1
||huggedpumpers.com^,1
||fadedsnow.com^,1
||jdoqocy.com^$third-party,1
/blockadvertising/*,1
||t4btv.com^$third-party,1
||rapidgator.net/images/pics/,1
||aftjohnanodes.com^,1
||acuityplatform.com^$third-party,1
||youtube.com^*autoplay=1$domain=eldjoumhouria.dz|hitek.fr|mon-compte.org,1
||hostingcloud.racing,1
||sufferamazia.com^,1
||sersh.com^,1
/pub_header. <+> /header-ads. <+> -ads-header.,1
/plugins/vp_pub/*,1
/component-ad-,1
||soulackbooths.com^,1
/internalAds/*,1
/ad/*/160/* <+> /display/*&160&600,1
||d1lxz4vuik53pc.cloudfront.net^,1
||adskom.com^$third-party,1
||ovularlinkup.com^,1
||nr-data.net^$third-party,1
||deplorablefaintest.com^,1
/get_links_*&zone=,1
/advertising-block. <+> =advertising-core- <+> _advertising_img. <+> /advertising-core/*,1
-300x60_ <+> /300x60-,1
?ad_domain= <+> _domain=ads.,1
||secure.2checkout.com/images/merchant/$third-party,1
.adfarm1.,1
://banners2.$third-party,1
||candidavulgo.com^,1
||ssl-images-amazon.com^$domain=fdesouche.com|tempr.email|wikimonde.com,1
||embedly.com^$domain=korben.info,1
||dailycaller.com^,1
||sfstatic.net/build/js/chunk~partnersBlock-js-main-js,1
||broggerneven.com^,1
||lesmobiles.com/img/mobile-banners/,1
||ucoz.net/cgi/uutils.fcg?,1
||micastpyridic.com^,1
||tukif.com/webcams/,1
/ad/ppid.js,1
||ruedesjoueurs.com/images/banners/,1
||fixitybowie.com^,1
||undockstipend.com^,1
/adsext/*,1
||prefershapely.com^,1
||assignlabor.com^,1
||basnetoverpot.com^,1
||tchatche.com/123m?,1
||jolstatic.fr/www/skins/,1
||bilkersteds.com^,1
-728-180.,1
||secure.avangate.com/images/merchant/$third-party,1
||iqoption.com^,1
||papizedromon.life^,1
||wrapper.lemde.fr^,1
||yospace.com/csm/,1
||bestcontentwork.top^$third-party,1
/ads16.,1
/ad_placements/*,1
/pubsky.php,1
/EpubDelivery/*,1
||boursier.com/illustrations/campaigns/,1
||1clic1don.fr^,1
||afilio.com.br^$third-party,1
/banads/*,1
||ezojs.com/ezoic/,1
/banner_body.,1
/DfpAd|,1
/partner_banners/* <+> /partner-pub-,1
/ads/top_ <+> /ads_top.,1
||skittleunregal.com^,1
||igg-games.com/wp-content/uploads/2024/03/f0ff3r-1.jpg,1
||ssa.direct-running.fr^,1
||adspsp.com^$third-party,1
||alicdn.com^*_220x220.$domain=~alibaba.com|~aliexpress.com|~aliexpress.ru,1
/adopdmp.,1
/media-ads/*,1
||videoadex.com^,1
||ligatus.com^$third-party,1
://adspaces.,1
||leetmenllew.com^,1
||gerbilshew.com^,1
||sfstatic.net/build/js/chunk~propclick-js-main-js,1
||onclckip.com^,1
.jmpopups-,1
||clickiocdn*.com^$third-party,1
/display/items.*&,1
||elasticchange.com^,1
_iframe728x90.,1
||advideo.ru^$third-party,1
||netdna-ssl.com^,1
/api/ads_,1
||osmatecosh.com^,1
||zupimages.net/up/21/14/7x9v.gif,1
||furyprosecutionkitchen.com^,1
||adrock.tv^$third-party,1
||bereaveundresscrowded.com^,1
||xn--ae-tja.ch^$third-party,1
||kibejoyant.com^,1
://adlik.,1
||static.k2s.cc/images/i/,1
||agazejagless.com^,1
/event-adserver. <+> _event_pub.,1
/ads_left. <+> /ads/left/*,1
||admark.fr^$third-party,1
||lerepairedesmotards.com/img/pub/,1
/wbdds. <+> .wbdds.,1
||static.keep2share.cc/images/i/,1
://dc.ads.,1
||heliumads.com^$third-party,1
||conseils-courseapied.com/images/overstims/,1
||tagsrvcs.com^$third-party,1
/720x90. <+> ?style=720x90- <+> /720x90_dfp.,1
||2.bp.blogspot.com/-9pkVLFyu5bw/W_n1R5ZXJYI/AAAAAAAAA5A/IQVV2P_BESwsbmjl2q1E9dr721zU_232wCLcBGAs/s1600/jack-icon.png,1
||hellobar.com^$domain=application-remuneratrice.com|familyinblack.fr,1
||facebook.net^*/fbevents.js$third-party,1
||acceptablefabric.com^,1
/include/popup. <+> /include/partenaires.,1
