rule_filterlist_Scandinavia,blocked_etld
/assets/site/modules/GTM_ <+> /site_media/annons,3
.se/img/banners/,3
/edmontonalberta/calgary.js$domain=hemmanytt.se,3
/avo/includes/js/jquery.js,3
/assets/site/modules/ctm-,3
/prerolls/*.mp4$domain=gamereactor.fi,3
/plugins/ga-germanized/*,3
/lasso-performance,3
/aller-ads,2
/ads/global-conf.js <+> /Global/Annons/*,2
.se/_Banners/ <+> .se/wp-content/banners/ <+> .se/uploads/banners/ <+> .se/images/banners/ <+> .se/wp-content/uploads/_banners/ <+> .se/Banners/ <+> /banners/annons <+> .se/uploads/images/banners/ <+> /Banners/webbannons,2
/pu/?psid=,2
/plugins/ap-plugin-scripteo,2
/plugins/r9-analytics,2
/fptools.js$domain=allas.se|elle.se|femina.se|hant.se|mabra.com|residencemagazine.se|svenskdam.se|motherhood.se,2
/ads/adnami-conf.js,2
/plugins-mu/analytics,2
/plugins/interstitial-ads,2
.nu/banner/,2
/metrics/bambuser,2
/ezoic/sa.min.js$domain=techmag.se,2
/adform.js$domain=bohuslaningen.se|stromstadstidning.se|markposten.se|harrydaposten.se|partilletidning.se|sttidningen.se|molndalsposten.se|kungalvsposten.se|kungsbackaposten.se|alingsastidning.se|ttela.se|gp.se|hallandsposten.se|hn.se,2
/logs/client$domain=swebbtv.se,2
/xhr/b/s$domain=skyscanner.se,2
/plugins/pc-google-analytics,2
_mainos. <+> /mainos/* <+> /mainos. <+> /mainos_,2
/strossle-widget <+> /strossle-analytics.js,2
/wp-content/uploads/*bruktbilann*.jpg^$domain=alvdalmiv.no|tynsetingen.no,2
/pogoadkit.js$domain=nordic.ign.com,2
||is/augl/,2
||redeal.se^$third-party,1
||ramses.nu^$third-party,1
||spania.no^$third-party,1
||ccpa.sp-prod.net^$domain=m3.se|pcforalla.se|macworld.se|computersweden.se,1
||amazonaws.com/metapic-cdn/*/metapic.,1
||vefbordi.is^$third-party,1
||gamereactor.*/ads^,1
/gtm-*.appspot.com,1
||wisepops.com^$third-party,1
||assets.pinterest.com/js/pinit$third-party,1
/newsner-stats$domain=newsner.com|humorbibeln.se|sportbibeln.se|ettgottskratt.se|djurbibeln.se,1
||sprinkletxt.com^$third-party,1
/plugins/random-banner,1
||converdiant.com^$third-party,1
||activehosted.com^$third-party,1
"/://f\.nordiskemedier\.dk/2[a-z0-9]{12,}\.(jpg|png|jpeg)/$third-party",1
/ab_appnexus_ads,1
/prebid_rtb_call,1
/auglysing/*,1
||applicationinsights.azure.com/*track,1
||aweber.com^$third-party,1
||offer-go.com^$third-party,1
||centotag.io^$third-party,1
||recirculation.spot.im^$third-party,1
||instiengage.com^$domain=stoppapressarna.se,1
/linguee/statistics,1
||exitintel.com^$third-party,1
||static.airserve.net^$third-party,1
||cdn-sitegainer.com/sitegainer,1
||raygun.io^$domain=koket.se,1
"||youplay.se^$third-party,domain=emocore.se|dayviews.com|kamrat.com|extraextra.se|kalender.se|tyda.se",1
||cncpt-central.com^$third-party,1
||convertful.com^$third-party,1
/ab_stats_params$domain=aftonbladet.se|skonhetsredaktorerna.se,1
||europe-west1-bonnier-big-data.cloudfunctions.net^$third-party,1
/native.html$domain=allas.se|elle.se|femina.se|hant.se|mabra.com|residencemagazine.se|svenskdam.se|motherhood.se,1
||ubembed.com^$third-party,1
"||bstatic.com/static/affiliate$third-party,~stylesheet",1
/dyTracker.js?bust=release,1
/plugins/wp-auto-affiliate,1
||sellingsimplified.net^$third-party,1
||gaysir.no/rek^,1
||schibsted.com/pulse$domain=aftonbladet.se,1
||lib.atomik.vip/loader.min.js,1
||funnelytics.io^$third-party,1
/se-ads-microservice,1
||affiliatable.io^$third-party,1
||optmn.cloud/hb/,1
||inmobi.com^$domain=alltomelbil.se|rikatillsammans.se|egoinas.se|land.se|moviezine.se|netflixguiden.se|travelnews.se|varldenshaftigaste.se|merinfo.se|foreca.se|matklubben.se|reseguiden.se|newsner.com|humorbibeln.se|sportbibeln.se|ettgottskratt.se|djurbibeln.se|laget.se|byrum.se|sportlovin.se|receptfavoriter.se|forni.se|kimura.se|cornucopia.se|norrahalland.se|elevspel.se|foretagande.se|finanstid.se|tittapavideon.se|motormagasinet.se|food-supply.se|dagenshandel.se|plastnet.se|habit.se|woodnet.se|foodnet.se|transportnet.se|processnet.se|packnet.se|verkstaderna.se|medtechmagazine.se|recyclingnet.se|rt-forum.se|uochd.se|lifesciencesweden.se|fri-kopenskap.se|cleannet.se|entreprenad.com,1
.se/log/? <+> /log/hublytics,1
||api.hitta.se/statistics,1
||nyafilmer.*/ajax/banner,1
||med.etoro.com^$domain=ykkoslohja.fi,1
||viralize.tv/t-bid,1
/930x180_*.gif^$domain=noresk.com|eroguide.dk,1
/headerbidding.js,1
||organicfruitapps.com/analytics,1
/siforesponsivemeasure <+> /sivulaskuri <+> /getStartPageAds <+> /getMultiAdsStrategy <+> /getAditem <+> /annonsbanners <+> /casinokollen <+> /adsadclient,1
||bcm.interactives.dk/script/,1
/zlk/zlk.js,1
||script.e-space.se^$third-party,1
||sannsyn.com^$third-party,1
||static-dscn.net^,1
||live-tag.creatopy.net^$third-party,1
||d2m8uxg4w7uelx.cloudfront.net/fpa.js,1
||tapet.bonniernews.se^,1
/bilder/annonser/*,1
||aff.bstatic.com^$third-party,1
||advisa.se^$third-party,1
||pt.dwcdn.net/*/datawrapper.gif,1
/js/byside_webcare,1
||t.elasticsuite.io^$third-party,1
||entainpartners.com^$third-party,1
/istripper.js,1
||ck.page^$third-party,1
/monetization/pixel-sdk/* <+> /monetization/ads-module/*,1
||adnordics.com^$third-party,1
||annonser.*.no^$domain=~annonser.gess.no,1
/media/eventad/*,1
||f.nordiskemedier.dk/*.gif^,1
||pingback.issuu.com/ping,1
||jwpcdn.com/player/*/bidding.js$domain=allas.se|elle.se|femina.se|hant.se|mabra.com|residencemagazine.se|svenskdam.se|motherhood.se|recept.se,1
||widget.getyourguide.com^$third-party,1
||marketo.com^$third-party,1
||cdn.livechatinc.com/tracking$domain=~box.co.uk,1
||webformscr.com/apps/fc3/build/default-handler.js,1
/annonsar/*,1
||platform.linkedin.com^$third-party,1
||applets.ebxcdn.com/ebx.js$domain=stoppapressarna.se,1
||advisible.com^$third-party,1
/plugins/wordpress-stats-manager-pro,1
||piano.io^$domain=thelocal.se|illvet.se|iform.se|varldenshistoria.se|popularhistoria.se|dagen.se|gds.se,1
||cncpt.dk^$third-party,1
/ads/bid300*.aspx,1
||services.api.no/api/bazaar^$third-party,1
||apis.google.com/js/plusone.js$third-party,1
/plugins/ginger/addon/analytics/*,1
||delivered-by-madington.com^$third-party,1
||export.prisguiden.no^$domain=diskusjon.no,1
||addrevenue.io^$third-party,1
||nitroscripts.com^,1
||twitcount.com^$third-party,1
||tac.is/kunnar^,1
||recommendations.asunnot.oikotie.fi^$domain=is.fi,1
/auglysingar/*,1
||heartbeat.airserve.net^$third-party,1
/playbuzz-ads-core,1
||zoho.com/hub/js/WebsiteAutomation.js$third-party,1
||bloglovin.com^$third-party,1
||pxl.host^$third-party,1
||widgets.getpocket.com^$third-party,1
/annons.aspx? <+> /ad.aspx?bid,1
||advertisement.*.no^,1
/wordads-classes/js/*,1
||network-n.com^$third-party,1
||nuance.com/tagserver/logging,1
||drift.com^$third-party,1
||deals.innocode.no^$third-party,1
||usefathom.com^$domain=fz.se|sweclockers.com,1
/apester-javascript-sdk.min.js,1
||evtr.nordiskemedier.dk^,1
||upsales.com^$third-party,1
||atmtd.com^$third-party,1
||assets.voyado.com/jsfiles/analytics,1
||emg-services.net/public/scripts/bundles/emg-desktop,1
/newsner-ad$domain=newsner.com|humorbibeln.se|sportbibeln.se|ettgottskratt.se|djurbibeln.se,1
||userneeds.com^$third-party,1
||wct-2.com^$third-party,1
||norstatsurveys.com^$third-party,1
/plugins/wp-evolve-gpt,1
||gravito.net^$domain=hitta.se|gp.se|bohuslaningen.se|stromstadstidning.se|markposten.se|harrydaposten.se|partilletidning.se|sttidningen.se|molndalsposten.se|kungalvsposten.se|kungsbackaposten.se|alingsastidning.se|ttela.se|hallandsposten.se|hn.se,1
"||feed.mikle.com^$third-party,domain=ekonominyheter.se",1
||leazard.io^$domain=varmepumpsforum.com,1
||onesignal.com^$domain=samnytt.se|battrestadsdel.se|beernews.se|ungdomsfotboll.se|rabattsok.se|1x2.se|cannabis.se|dackavisen.se|driva-eget.se|skogsaktuellt.se|maskinbladet.se|entreprenadaktuellt.se|ja.se|newsner.com|humorbibeln.se|sportbibeln.se|ettgottskratt.se|djurbibeln.se|finanstid.se|fokus.se|gasetten.se|fotbollsthlm.se|macken.xyz|naringslivetvgl.se|dalarnasaffarer.se|stockholmsaffarer.se|jamtlandsaffarer.se|netflixguiden.se|nyadagbladet.se|oskarshamns-nytt.se|swebbtv.se|thepattayanews.se|vaken.se|aktieskolan.se|fastighetsvarlden.se|mcparken.se|gaffa.se|alltomnorrtalje.se|morotsliv.com,1
/retargeting-pixels,1
||manatee.io^$third-party,1
/plugins/ga-in/*,1
||static.finncdn.no/*/FINNExternalDistribution.js^$domain=aftenbladet.no|aftenposten.no,1
||bilborsen.webannonse.no^,1
/assets/js/modules/plugins/smoothPageScroll,1
||bwz.se^$third-party,1
||jst.ai^$third-party,1
||widget.tippebannere.no^$third-party,1
||woomio.com/assets/js/analytics,1
||yelp.se/sit_rep,1
||pji.nu/libs/pjpixel,1
||jobb.blocket.se^*/tracker.js,1
||getsitecontrol.com^$third-party,1
||svd.se/api/dr-edition-teasers,1
||t.atmng.io^,1
||track.adform.net/Banners/,1
/bannerpop/uploads/*,1
||s.api.no/mittari/c/article/*/sectionId/*.gif^,1
||sdk.mrf.io/statics/marfeel-sdk,1
||telemetry.bambuser.io^,1
||cdn.adt*/atag.js?$third-party,1
||blocket.se^$third-party,1
||cision.com^$third-party,1
||zummy.io^$third-party,1
||ecomm.events/i.js,1
||portalhc.com^$third-party,1
||compricer.se^$third-party,1
||lcx-embed.bambuser.com^$domain=feber.se|tjock.se,1
||reseguiden.se^$third-party,1
||instaforex.com^$third-party,1
||rett24.no^*bannerizor.js,1
||ads.*.dk^$domain=~ads.mst.dk,1
